link,title,property_id,postcode-L1,postcode-L2,price-monthly,bed,bath,max-tenants,list-date,let-agreed,Furnishing,EPC Rating
https://www.openrent.co.uk/property-to-rent/trowbridge/1-bed-flat-marlborough-court-ba14/1601200,"1 Bed Flat, Marlborough Court, BA14",1601200,BA14,208SA,895.00,1,1,1,20230117,20230205,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-garratt-terrace-sw17/1601201,"1 Bed Flat, Garratt Terrace, SW17",1601201,SW17,200QE,"1,500.00",1,1,2,20230117,20230222,Furnished,D
https://www.openrent.co.uk/property-to-rent/trowbridge/1-bed-flat-marlborough-court-ba14/1601202,"1 Bed Flat, Marlborough Court, BA14",1601202,BA14,208SA,895.00,1,1,1,20230117,20230205,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/trowbridge/1-bed-flat-marlborough-court-ba14/1601204,"1 Bed Flat, Marlborough Court, BA14",1601204,BA14,208SA,895.00,1,1,1,20230117,20230205,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/walton-le-dale-preston/3-bed-detached-house-allington-close-pr5/1601206,"3 Bed Detached House, Allington Close, PR5",1601206,PR5,204NL,"1,295.00",3,1,3,20230117,20230214,Furnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/london/studio-flat-warwick-road-sw5/1601207,"Studio Flat, Warwick Road, SW5",1601207,SW5,209UP,"1,473.33",1,1,2,20230118,20230124,Furnished,D
https://www.openrent.co.uk/property-to-rent/trowbridge/1-bed-flat-marlborough-court-ba14/1601208,"1 Bed Flat, Marlborough Court, BA14",1601208,BA14,208SA,845.00,1,1,1,20230117,20230205,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/walton-le-dale-preston/3-bed-semi-detached-house-windsor-road-pr5/1601210,"3 Bed Semi-Detached House, Windsor Road, PR5",1601210,PR5,204QE,900.00,3,1,3,20230117,20230214,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/london/studio-flat-caledonian-road-n1/1601211,"Studio Flat, Caledonian Road, N1",1601211,N1,201BB,"1,300.00",1,1,2,20230119,20230126,Furnished,D
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-caledonian-road-n7/1601212,"1 Bed Flat, Caledonian Road, N7",1601212,N7,208TD,"1,470.00",1,1,2,20230117,20230119,Furnished,D
https://www.openrent.co.uk/property-to-rent/trowbridge/1-bed-flat-marlborough-court-ba14/1601213,"1 Bed Flat, Marlborough Court, BA14",1601213,BA14,208SA,875.00,1,1,1,20230117,20230205,Unfurnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/nelson/2-bed-terraced-house-bradley-view-bb9/1601214,"2 Bed Terraced House, Bradley View, BB9",1601214,BB9,209XJ,400.00,2,1,2,20230117,20230210,Unfurnished,E
https://www.openrent.co.uk/property-to-rent/london/studio-flat-holloway-road-n7/1601215,"Studio Flat, Holloway Road, N7",1601215,N7,206NJ,"1,300.00",1,1,2,20230118,20230127,Furnished,C
https://www.openrent.co.uk/property-to-rent/lichfield/room-in-a-shared-house-christopher-walk-ws13/1601217,"Room in a Shared House, Christopher Walk, WS13",1601217,WS13,207PX,550.00,4,2,1,20230117,20230203,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/telford/room-in-a-shared-house-lawns-wood-tf3/1601220,"Room in a Shared House, Lawns Wood, TF3",1601220,TF3,202HS,360.00,4,2,1,20230117,20230217,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/trowbridge/1-bed-flat-marlborough-court-ba14/1601221,"1 Bed Flat, Marlborough Court, BA14",1601221,BA14,208SA,875.00,1,1,1,20230117,20230205,Unfurnished,Currently Being Obtained
